claim_id,M_i,P_i,C_i,v_i
S001,4003,0.3892,2780,0.4235
S002,2233,0.0857,3002,0.1518
S003,4045,0.0573,3317,0.1999
S004,500,0.2841,2498,0.2269
S005,744,0.4656,2486,0.6063
S006,1290,0.1648,3020,0.7376
S007,500,0.2121,2514,0.3142
S008,1976,0.205,2734,0.197
S009,1616,0.2542,2838,0.2932
S010,3926,0.03,3301,0.5736
S011,500,0.1645,1588,0.1855
S012,11512,0.0672,4336,0.6301
S013,1402,0.026,1938,0.28
S014,1263,0.0436,2406,0.7224
S015,3263,0.0605,3350,0.7868
S016,3929,0.1264,3252,0.3754
S017,1677,0.1836,2954,0.6764
S018,1326,0.1379,2488,0.7407
S019,5234,0.4131,3697,0.4277
S020,852,0.0355,1925,0.3394
S021,500,0.1089,1961,0.7181
S022,500,0.1776,2009,0.3706
S023,2893,0.3379,2739,0.3352
S024,10900,0.2415,3925,0.8363
S025,1888,0.1111,2607,0.5502
S026,759,0.3464,2302,0.2074
S027,2620,0.1116,2815,0.1998
S028,501,0.1015,1901,0.5502
S029,20752,0.316,5474,0.3737
S030,962,0.1722,2512,0.0793
S031,6199,0.2184,3561,0.4836
S032,2173,0.0419,2933,0.5662
S033,500,0.0725,1960,0.4771
S034,5740,0.1433,3349,0.2728
S035,1090,0.1417,2455,0.5372
S036,4520,0.0517,3190,0.4793
S037,5291,0.2048,3175,0.2483
S038,3221,0.5081,2636,0.1434
S039,8334,0.2619,4096,0.4744
S040,4722,0.0475,2878,0.0103
S041,557,0.0231,1871,0.5543
S042,1191,0.1326,2257,0.5334
S043,19813,0.304,4919,0.5826
S044,500,0.0922,2152,0.5888
S045,1091,0.0821,2802,0.3499
S046,1367,0.2687,2901,0.2367
S047,1789,0.2009,2955,0.4463
S048,728,0.5117,1878,0.6043
S049,5479,0.0325,3363,0.529
S050,855,0.0616,1954,0.2624
S051,500,0.1793,2119,0.6087
S052,500,0.2435,2298,0.5004
S053,549,0.0466,1857,0.3946
S054,500,0.134,2300,0.3255
S055,662,0.0102,1858,0.1979
S056,751,0.3978,2403,0.6469
S057,652,0.2525,2411,0.3174
S058,1105,0.1755,1826,0.2118
S059,500,0.165,1689,0.1554
S060,869,0.066,2315,0.192
S061,616,0.1418,1905,0.3833
S062,1555,0.1366,3001,0.4582
S063,500,0.0608,1670,0.377
S064,12429,0.3464,4207,0.3447
S065,500,0.0945,2393,0.8937
S066,841,0.2405,2167,0.0787
S067,1177,0.1285,2590,0.3763
S068,1088,0.1865,2617,0.4568
S069,769,0.1322,2400,0.2944
S070,6259,0.0092,3624,0.7186
S071,5721,0.1131,3950,0.1484
S072,916,0.2976,2410,0.3019
S073,1229,0.0694,1728,0.2086
S074,4067,0.0517,3085,0.1758
S075,2650,0.0792,3086,0.0821
S076,1546,0.0832,2319,0.5859
S077,3110,0.2278,2945,0.1265
S078,2101,0.4129,2795,0.4742
S079,822,0.1456,2035,0.8235
S080,1755,0.0193,2665,0.3309
S081,3478,0.2352,2995,0.3187
S082,500,0.0311,1957,0.3101
S083,681,0.1869,1877,0.4554
S084,827,0.0302,2485,0.3184
S085,3843,0.3097,3186,0.2614
S086,3112,0.0189,2665,0.2111
S087,1086,0.0684,2708,0.2699
S088,2591,0.0795,3452,0.0811
S089,1619,0.0991,2238,0.8562
S090,1818,0.0052,2067,0.1716
S091,4056,0.3619,3757,0.2677
S092,500,0.3493,2295,0.3517
S093,1548,0.0836,2716,0.3295
S094,5849,0.1238,3481,0.6213
S095,8971,0.3604,3943,0.2947
S096,500,0.0759,1895,0.4795
S097,3795,0.2097,3422,0.3821
S098,3953,0.1062,3236,0.7402
S099,500,0.0577,1920,0.7134
S100,500,0.0263,2153,0.1369
