claim_id,M_i,P_i,C_i,v_i
S001,500,0.0149,2306,0.242
S002,20335,0.0449,4910,0.5509
S003,1914,0.2655,2324,0.0757
S004,1359,0.4146,2196,0.6106
S005,2000,0.1676,1853,0.7827
S006,5718,0.1122,3281,0.1772
S007,798,0.0184,2116,0.5357
S008,3411,0.2002,2726,0.7508
S009,713,0.0062,2409,0.2964
S010,9759,0.0956,3233,0.1607
S011,1381,0.2219,2015,0.1633
S012,500,0.1568,1637,0.3497
S013,801,0.0223,2105,0.393
S014,500,0.1763,1749,0.6514
S015,500,0.4618,1383,0.3522
S016,1381,0.1234,1428,0.4839
S017,652,0.021,1771,0.59
S018,730,0.1133,2069,0.6064
S019,2479,0.0697,2230,0.224
S020,500,0.0875,2005,0.1923
S021,500,0.0403,1576,0.5614
S022,770,0.1394,1759,0.6144
S023,500,0.4084,1772,0.4642
S024,500,0.1621,1901,0.5206
S025,4009,0.0939,3143,0.6824
S026,500,0.2794,1980,0.6979
S027,700,0.0908,1957,0.6325
S028,500,0.1177,1616,0.1684
S029,500,0.1156,1283,0.5756
S030,27447,0.0338,4921,0.7018
S031,1020,0.0749,1676,0.3617
S032,5303,0.064,2921,0.3971
S033,500,0.2395,1909,0.3375
S034,1003,0.1935,2467,0.4067
S035,500,0.1018,1867,0.4184
S036,688,0.0131,1232,0.3842
S037,9769,0.0913,3526,0.4617
S038,1371,0.0849,2668,0.6205
S039,768,0.0389,1571,0.314
S040,1488,0.1754,2785,0.489
S041,801,0.1473,1475,0.7053
S042,11125,0.2046,3714,0.0698
S043,500,0.2034,1624,0.455
S044,3985,0.1997,2839,0.1386
S045,1196,0.2117,2319,0.4718
S046,727,0.1998,2747,0.2531
S047,2223,0.0465,2458,0.1496
S048,822,0.3455,1910,0.4632
S049,3510,0.248,2812,0.4094
S050,2862,0.0428,2846,0.2387
S051,1158,0.2069,2072,0.5135
S052,12013,0.1707,4093,0.5633
S053,2345,0.2136,2427,0.4228
S054,7738,0.1597,3387,0.8188
S055,4349,0.0128,3479,0.1693
S056,4059,0.0638,2821,0.6459
S057,901,0.0024,2288,0.2012
S058,1605,0.0582,2617,0.1574
S059,500,0.0618,1140,0.3802
S060,1653,0.2897,2045,0.6233
S061,7620,0.0092,3121,0.046
S062,1315,0.284,2214,0.3531
S063,827,0.0615,1985,0.3006
S064,500,0.3178,1401,0.3578
S065,500,0.2124,1807,0.494
S066,1128,0.1635,2636,0.4747
S067,1100,0.1257,2419,0.551
S068,4244,0.0251,2926,0.7327
S069,3909,0.1906,2487,0.2546
S070,32106,0.0823,4982,0.038
S071,1475,0.2096,2700,0.1182
S072,536,0.1655,1979,0.2909
S073,1062,0.036,2288,0.4696
S074,4990,0.2614,2952,0.3722
S075,3272,0.2437,2715,0.2527
S076,2526,0.1043,2761,0.1789
S077,3383,0.091,2954,0.555
S078,2647,0.2138,2806,0.4914
S079,2375,0.1279,2463,0.5441
S080,1132,0.1695,1665,0.5678
S081,764,0.1526,1860,0.2721
S082,11533,0.0336,3843,0.2115
S083,642,0.0839,1745,0.4844
S084,1175,0.1749,1087,0.4712
S085,1999,0.0911,2917,0.4755
S086,13563,0.0123,3824,0.489
S087,500,0.1559,1553,0.1064
S088,1120,0.1159,1920,0.5498
S089,1088,0.3287,1854,0.2082
S090,3538,0.3882,2558,0.6094
S091,904,0.0799,2067,0.2456
S092,1969,0.1257,2305,0.5176
S093,5119,0.0993,3478,0.7706
S094,2975,0.0428,2604,0.115
S095,1378,0.0946,2443,0.5351
S096,4477,0.1627,3175,0.1586
S097,2369,0.1436,2546,0.3836
S098,1067,0.0796,2578,0.2791
S099,3964,0.0862,3094,0.1438
S100,617,0.3108,1823,0.9608
