claim_id,M_i,P_i,C_i,v_i
S001,927,0.1586,1689,0.1772
S002,2317,0.2041,2850,0.5934
S003,7792,0.1277,3035,0.1325
S004,1594,0.1091,2062,0.2734
S005,994,0.1374,2663,0.2912
S006,920,0.0825,2144,0.4446
S007,1073,0.2542,1763,0.2188
S008,14280,0.1137,3779,0.389
S009,4975,0.2762,2876,0.4081
S010,1172,0.3457,2301,0.0708
S011,500,0.1909,1782,0.0607
S012,20447,0.1583,4483,0.3591
S013,1118,0.07,2271,0.6827
S014,8162,0.1014,3223,0.211
S015,676,0.0262,2090,0.241
S016,500,0.338,1414,0.6637
S017,5834,0.1163,3015,0.3008
S018,2991,0.0883,2603,0.1838
S019,1003,0.0462,2452,0.5317
S020,517,0.2177,1593,0.4756
S021,7067,0.2971,3430,0.5
S022,4860,0.0932,3312,0.1715
S023,14523,0.0114,3968,0.444
S024,7476,0.3099,3597,0.613
S025,2425,0.1912,2232,0.7967
S026,1093,0.1317,1913,0.4307
S027,11672,0.0864,3430,0.3243
S028,3560,0.1716,2563,0.3764
S029,500,0.0639,2258,0.5962
S030,12497,0.1446,3167,0.5141
S031,637,0.1763,1966,0.0844
S032,1227,0.0051,1830,0.3476
S033,1418,0.2366,1615,0.5036
S034,1392,0.132,2174,0.6619
S035,3493,0.4547,2486,0.362
S036,4571,0.1214,2555,0.4325
S037,4682,0.0715,2933,0.5964
S038,1570,0.054,2560,0.1258
S039,500,0.0802,1557,0.389
S040,18219,0.059,4247,0.5504
S041,5991,0.0886,3545,0.2038
S042,625,0.0913,1972,0.312
S043,6778,0.2542,3430,0.1094
S044,1406,0.3853,1529,0.3194
S045,1549,0.0597,2300,0.674
S046,5212,0.1137,3697,0.2091
S047,2337,0.2615,2759,0.4676
S048,1039,0.0259,1748,0.6449
S049,2651,0.1193,3269,0.436
S050,1051,0.3084,1715,0.8449
S051,9826,0.2492,3241,0.6344
S052,500,0.0455,1247,0.3167
S053,500,0.2165,2080,0.3375
S054,2092,0.0428,2132,0.2516
S055,1264,0.0749,1893,0.2701
S056,1069,0.0514,2324,0.2507
S057,2885,0.0988,2869,0.5939
S058,2597,0.0673,2797,0.1042
S059,14199,0.2071,3423,0.1977
S060,2467,0.2495,2384,0.1142
S061,2497,0.1753,2441,0.3234
S062,500,0.0533,2223,0.2216
S063,1670,0.1818,2111,0.6914
S064,2426,0.1338,2711,0.3269
S065,1136,0.1346,1627,0.2982
S066,816,0.2795,1626,0.5354
S067,500,0.3832,1906,0.6638
S068,1168,0.2337,2336,0.7181
S069,500,0.2664,1988,0.4109
S070,500,0.1036,1455,0.3856
S071,500,0.0497,1299,0.239
S072,3441,0.0235,2830,0.5308
S073,10588,0.0396,3591,0.1057
S074,7869,0.0284,2816,0.8745
S075,4230,0.4082,2365,0.4302
S076,14889,0.0825,3884,0.4272
S077,500,0.069,2103,0.535
S078,693,0.424,2206,0.3547
S079,2379,0.0266,1966,0.644
S080,1703,0.2251,1984,0.6914
S081,3815,0.364,2981,0.3406
S082,1402,0.1353,2784,0.3121
S083,8753,0.3316,3010,0.3252
S084,1284,0.1878,2536,0.3172
S085,864,0.2902,1402,0.6708
S086,3162,0.2025,2428,0.5159
S087,623,0.2095,1543,0.2371
S088,500,0.1791,1719,0.5199
S089,5703,0.4941,2572,0.5629
S090,554,0.0697,1447,0.2755
S091,500,0.2607,1671,0.359
S092,768,0.1544,1364,0.3937
S093,1784,0.1103,2392,0.75
S094,1000,0.1817,1914,0.8072
S095,38827,0.1754,5304,0.2727
S096,532,0.1072,1808,0.2522
S097,1221,0.1088,1762,0.3647
S098,2831,0.058,2447,0.1978
S099,1166,0.0215,1897,0.4842
S100,2029,0.2044,2232,0.5244
