claim_id,M_i,P_i,C_i,v_i
S001,500,0.0274,1863,0.3218
S002,2852,0.1204,2646,0.5001
S003,502,0.2494,1885,0.2118
S004,586,0.2353,1688,0.3903
S005,2387,0.0844,2386,0.3368
S006,9879,0.1916,3029,0.3382
S007,7679,0.2838,2915,0.526
S008,1677,0.3541,2310,0.2787
S009,9690,0.0625,3303,0.2201
S010,500,0.1074,1020,0.1497
S011,12910,0.097,4006,0.2143
S012,674,0.3382,1696,0.3351
S013,2648,0.0208,2347,0.5015
S014,614,0.0676,2291,0.294
S015,500,0.1118,2096,0.1686
S016,6657,0.1602,3324,0.4994
S017,8945,0.0525,3159,0.4847
S018,1303,0.2703,2323,0.3121
S019,792,0.2416,1903,0.5104
S020,2453,0.1301,2534,0.4895
S021,2572,0.2175,2619,0.5384
S022,15679,0.1539,3451,0.2089
S023,500,0.1984,1873,0.3487
S024,618,0.4134,2254,0.6815
S025,3557,0.0808,2473,0.2313
S026,2208,0.0679,2662,0.3311
S027,500,0.0632,1771,0.6102
S028,4131,0.208,2531,0.7072
S029,500,0.1834,1658,0.4967
S030,500,0.1266,1498,0.5937
S031,1697,0.2159,1875,0.605
S032,500,0.0624,1675,0.251
S033,2605,0.1091,1880,0.1214
S034,3405,0.1144,2647,0.4036
S035,3354,0.1776,2419,0.129
S036,1031,0.101,2282,0.1562
S037,500,0.1811,1660,0.3924
S038,1056,0.1133,1791,0.746
S039,1339,0.0862,2081,0.7622
S040,500,0.0275,1890,0.2696
S041,5832,0.1205,2949,0.1791
S042,500,0.3964,1539,0.5971
S043,500,0.0993,1287,0.9251
S044,3049,0.249,2704,0.0978
S045,500,0.4948,1355,0.6617
S046,1363,0.1312,2001,0.4608
S047,8710,0.0641,3123,0.3009
S048,500,0.1376,2194,0.2185
S049,500,0.0892,1652,0.4846
S050,500,0.4256,2248,0.3641
S051,500,0.0749,1659,0.5863
S052,1114,0.2827,1280,0.1594
S053,565,0.1688,1371,0.5273
S054,2002,0.1256,1678,0.6273
S055,562,0.0114,1585,0.1089
S056,500,0.0988,1369,0.4933
S057,936,0.2435,1612,0.2518
S058,3362,0.0948,2869,0.258
S059,19551,0.1471,4646,0.2406
S060,1281,0.0216,2001,0.5208
S061,786,0.1821,1888,0.5805
S062,5088,0.4213,3150,0.2852
S063,2270,0.1351,2131,0.6567
S064,1453,0.2086,1978,0.4941
S065,24177,0.1001,4140,0.228
S066,500,0.1,1382,0.5011
S067,819,0.365,1897,0.4544
S068,5624,0.1506,2842,0.4443
S069,500,0.0467,1390,0.8369
S070,11777,0.0861,3620,0.7125
S071,509,0.266,1205,0.311
S072,1847,0.0663,2633,0.346
S073,976,0.1128,1913,0.2691
S074,2318,0.2606,2515,0.431
S075,1166,0.2054,2635,0.2553
S076,500,0.091,1537,0.3914
S077,2141,0.1969,3049,0.3815
S078,500,0.0725,1322,0.6784
S079,6398,0.1647,2581,0.4875
S080,500,0.2162,1312,0.4535
S081,2462,0.0725,2357,0.0173
S082,3039,0.052,2936,0.5628
S083,933,0.0646,2268,0.5592
S084,1991,0.1788,2680,0.6111
S085,3585,0.0824,2644,0.0899
S086,42095,0.0947,5219,0.4283
S087,10095,0.012,3890,0.4302
S088,3709,0.0477,2153,0.566
S089,3286,0.0993,3040,0.4441
S090,5528,0.157,3293,0.1809
S091,4451,0.328,2614,0.1486
S092,4069,0.1186,3111,0.5808
S093,905,0.0549,1571,0.3068
S094,15091,0.2075,3950,0.7105
S095,500,0.0858,2207,0.3176
S096,883,0.066,2094,0.5241
S097,1663,0.3158,2140,0.0979
S098,2592,0.0175,2548,0.046
S099,500,0.2163,1484,0.5831
S100,6921,0.1969,3365,0.3354
