claim_id,M_i,P_i,C_i,v_i
S001,1579,0.0899,2782,0.7351
S002,500,0.1387,1658,0.3166
S003,15399,0.0622,4396,0.4663
S004,500,0.1113,1988,0.5953
S005,1222,0.018,2236,0.567
S006,500,0.177,1806,0.245
S007,2839,0.2512,2974,0.0319
S008,630,0.2501,1573,0.2304
S009,1188,0.052,2045,0.6403
S010,2581,0.1415,2528,0.3514
S011,7640,0.1462,3581,0.6391
S012,500,0.0787,1676,0.3427
S013,16728,0.1244,4217,0.2218
S014,3271,0.1964,2992,0.58
S015,1546,0.0327,2342,0.1778
S016,1115,0.2606,2235,0.6829
S017,562,0.4298,1631,0.484
S018,1032,0.4159,2453,0.2777
S019,764,0.0799,1646,0.5851
S020,7830,0.2489,3495,0.4889
S021,711,0.1478,2580,0.4498
S022,892,0.1183,2410,0.8292
S023,1687,0.3505,1986,0.702
S024,1989,0.3005,2898,0.6266
S025,500,0.2337,1625,0.4792
S026,500,0.1617,1866,0.517
S027,5403,0.1159,3846,0.2909
S028,2967,0.0962,2468,0.4419
S029,785,0.2234,2427,0.5305
S030,500,0.0734,2174,0.2614
S031,703,0.1287,2258,0.2039
S032,526,0.0429,1482,0.5099
S033,2022,0.1387,2541,0.3206
S034,958,0.1658,2151,0.0663
S035,4611,0.0351,3576,0.2539
S036,1421,0.1948,2538,0.7391
S037,1016,0.1068,2513,0.3059
S038,522,0.0737,2331,0.331
S039,989,0.1925,1978,0.8306
S040,4665,0.3934,3594,0.3276
S041,596,0.4465,2089,0.1781
S042,25643,0.3302,5229,0.618
S043,500,0.1885,1789,0.035
S044,1357,0.0803,2596,0.2186
S045,2347,0.1264,2744,0.6529
S046,1185,0.1102,2231,0.4015
S047,2004,0.1427,2870,0.2121
S048,2055,0.0425,2899,0.1909
S049,1427,0.2436,2544,0.2128
S050,9103,0.1528,3853,0.7574
S051,2736,0.3742,2833,0.1986
S052,3530,0.2273,3374,0.1515
S053,885,0.0031,1953,0.5744
S054,4356,0.1111,3433,0.1726
S055,8933,0.0615,3585,0.1284
S056,753,0.0952,1974,0.6661
S057,1009,0.2231,2296,0.2871
S058,6583,0.1439,3304,0.646
S059,500,0.118,1916,0.6141
S060,2209,0.2185,2284,0.3484
S061,6290,0.1503,3507,0.3598
S062,500,0.0638,2223,0.0977
S063,4493,0.1593,3111,0.6336
S064,992,0.0093,2060,0.8726
S065,500,0.0736,1659,0.4649
S066,1588,0.4914,2502,0.3207
S067,500,0.3053,1785,0.4583
S068,3250,0.0395,2092,0.682
S069,931,0.0478,1664,0.6889
S070,6432,0.2005,2926,0.147
S071,637,0.2021,2018,0.6312
S072,1652,0.0219,2004,0.3199
S073,1590,0.0828,2378,0.705
S074,22440,0.3201,4665,0.2976
S075,1202,0.2365,1904,0.4466
S076,960,0.3352,1512,0.5158
S077,500,0.0349,1887,0.2463
S078,2338,0.0344,2553,0.1275
S079,6985,0.0143,3698,0.2577
S080,2927,0.021,2720,0.8523
S081,4531,0.1313,2432,0.4652
S082,500,0.0847,2144,0.4038
S083,3600,0.2329,2751,0.3607
S084,1388,0.2551,2115,0.4415
S085,3921,0.4343,2979,0.3569
S086,541,0.3256,2275,0.3069
S087,17671,0.0632,4625,0.6766
S088,2345,0.254,2567,0.9677
S089,3294,0.1346,2892,0.5474
S090,852,0.0481,2023,0.1775
S091,543,0.1017,2105,0.0881
S092,708,0.1623,2903,0.5232
S093,2310,0.0707,2267,0.4521
S094,3440,0.1784,3356,0.6051
S095,500,0.2056,2021,0.2038
S096,500,0.0787,1476,0.6474
S097,3930,0.2001,3332,0.6697
S098,1228,0.1957,2277,0.99
S099,1470,0.1947,2110,0.8111
S100,500,0.1573,2128,0.4452
