claim_id,M_i,P_i,C_i,v_i
S001,664,0.0677,2415,0.4784
S002,4405,0.3475,3114,0.2236
S003,4983,0.098,3005,0.329
S004,2638,0.0723,2711,0.6899
S005,5212,0.2438,3550,0.3084
S006,5719,0.2036,2846,0.2155
S007,2391,0.041,2746,0.1672
S008,500,0.4604,1757,0.3457
S009,3073,0.5,3103,0.2596
S010,1038,0.1508,2176,0.3473
S011,1044,0.2201,1904,0.6474
S012,3979,0.1351,3065,0.7103
S013,1342,0.2898,2578,0.3555
S014,500,0.125,1554,0.4618
S015,792,0.0491,1826,0.7342
S016,853,0.2002,1798,0.0507
S017,883,0.057,1773,0.1753
S018,11553,0.2499,3693,0.7748
S019,776,0.0591,2241,0.6114
S020,2296,0.0775,2528,0.2293
S021,12409,0.289,3466,0.2208
S022,500,0.1463,2135,0.4864
S023,961,0.1677,2196,0.0582
S024,500,0.1213,1707,0.2045
S025,500,0.0556,1567,0.6513
S026,616,0.1593,1551,0.1934
S027,692,0.1613,1907,0.526
S028,500,0.3396,1603,0.7674
S029,3492,0.1336,2797,0.7976
S030,2350,0.4685,2412,0.5588
S031,2502,0.1418,2247,0.4628
S032,500,0.3963,1950,0.2582
S033,1633,0.1491,2087,0.5126
S034,2049,0.1873,2654,0.3254
S035,3775,0.0436,3049,0.2843
S036,500,0.0193,2037,0.3942
S037,751,0.0615,1640,0.2892
S038,813,0.0949,2047,0.2596
S039,24265,0.0619,4657,0.5322
S040,2777,0.0785,2808,0.297
S041,1432,0.3223,2010,0.603
S042,549,0.011,2196,0.2746
S043,4615,0.1058,2994,0.2243
S044,5880,0.0709,3207,0.5653
S045,994,0.0833,2879,0.304
S046,500,0.117,2361,0.5789
S047,860,0.0948,2051,0.1934
S048,4663,0.0436,3666,0.0625
S049,1911,0.0829,2160,0.1872
S050,961,0.1048,2006,0.46
S051,1861,0.2105,2763,0.486
S052,1171,0.3351,2089,0.3546
S053,842,0.1364,2049,0.339
S054,7650,0.0271,3655,0.2621
S055,608,0.3658,2254,0.5252
S056,3101,0.1472,2880,0.553
S057,7539,0.2276,3337,0.1424
S058,6278,0.37,3173,0.3997
S059,1815,0.4356,2480,0.3583
S060,3351,0.164,2872,0.1125
S061,729,0.0845,2189,0.6016
S062,500,0.1305,1537,0.2338
S063,8966,0.1969,3202,0.396
S064,500,0.0839,1250,0.5368
S065,500,0.4402,1969,0.2701
S066,4358,0.2702,2958,0.6122
S067,1545,0.1434,2737,0.2403
S068,1539,0.1238,2557,0.5457
S069,3319,0.1291,2976,0.6096
S070,2116,0.1772,2344,0.2046
S071,2741,0.2342,2874,0.318
S072,1077,0.0899,2822,0.5146
S073,500,0.0691,1909,0.6208
S074,500,0.0508,1855,0.281
S075,2264,0.1461,1520,0.3282
S076,1850,0.0834,2310,0.4613
S077,4290,0.0619,2985,0.2754
S078,11780,0.3735,4121,0.4336
S079,1157,0.22,2302,0.6426
S080,500,0.0735,1442,0.461
S081,1063,0.2089,1917,0.5442
S082,20826,0.1049,4455,0.2716
S083,826,0.0417,2173,0.64
S084,500,0.0757,1866,0.8717
S085,1225,0.3969,2606,0.3428
S086,5907,0.1533,3361,0.2176
S087,1830,0.0262,2596,0.4638
S088,30038,0.1687,5278,0.7803
S089,1198,0.1887,1949,0.5772
S090,758,0.002,2176,0.3519
S091,4015,0.3471,3007,0.5586
S092,3932,0.1432,2771,0.1421
S093,2703,0.0555,2411,0.2694
S094,1229,0.0988,2403,0.5757
S095,1904,0.0449,2641,0.4234
S096,1509,0.0502,2560,0.3822
S097,1379,0.0389,2514,0.2769
S098,500,0.1452,1712,0.2846
S099,500,0.1661,1835,0.5145
S100,9368,0.1128,3393,0.2146
