year,event_id,loss
0,0,11.2296987
0,1,33.64192063
0,2,3.091581583
0,3,3.361022655
1,4,0.555783333
1,5,3.179006435
2,6,2.572772979
2,7,0.298367007
3,8,8.875802447
3,9,3.410457706
3,10,3.00302233
4,11,30.6048879
4,12,7.240962669
6,13,1.512000497
6,14,476.9776156
6,15,44.27674459
7,16,1.626404883
7,17,0.68732961
7,18,23.58357807
7,19,3.296256753
7,20,0.980181867
7,21,1.972127878
7,22,1.355501563
8,23,9.039856713
8,24,17.69326736
8,25,27.98371376
9,26,2.09839699
9,27,4.6468122
10,28,1.405646781
10,29,1.228372428
10,30,24.99782281
11,31,56.50674677
11,32,12.7062425
11,33,74.22157304
12,34,0.879742799
12,35,35.29486288
12,36,28.65416294
12,37,7.602677566
13,38,5.374996202
13,39,3.89501219
13,40,15.6766524
14,41,41.98363835
14,42,2.577758851
14,43,4.519976434
14,44,4.10348975
14,45,0.82261053
14,46,11.52110321
16,47,10.93078268
16,48,4.419065398
17,49,2.217951664
17,50,7.186281011
17,51,0.600341312
17,52,1.478757559
19,53,1.667158584
19,54,15.12926805
20,55,5.010105801
21,56,2.219447376
21,57,58.91074951
21,58,60.81326617
21,59,59.64967083
21,60,1.971981298
22,61,8.292424796
22,62,95.57463213
22,63,27.39564676
24,64,1.860534196
24,65,75.55807815
24,66,2.282154748
25,67,4.558108458
25,68,4.5415282
25,69,5.425987575
25,70,0.852090812
25,71,44.08373459
25,72,51.88839808
26,73,2.012304869
26,74,11.46855233
26,75,2.530641614
26,76,121.347917
27,77,15.04054239
27,78,42.00939856
27,79,2.157556912
28,80,0.94666823
28,81,2.321767794
28,82,27.60537009
28,83,5.158306035
29,84,1.742771324
29,85,32.00109117
29,86,7.86930774
29,87,6.014013169
29,88,6.133719995
30,89,22.43250957
30,90,10.18728747
30,91,1.140414545
30,92,9.580898615
30,93,13.17045508
30,94,1.96248955
31,95,9.305332835
31,96,12.63765742
31,97,17.13591905
32,98,11.66594227
32,99,10.86787551
32,100,7.659124803
32,101,27.3268841
33,102,2.318133134
33,103,5.179829237
33,104,3.56781969
33,105,8.354591008
33,106,237.9326975
33,107,0.448925743
34,108,1.935410773
34,109,4.471724502
35,110,7.911819336
35,111,2.780413002
35,112,184.1804777
35,113,19.12274632
36,114,2.250649615
36,115,6.22078023
36,116,15.76009194
36,117,27.07559561
36,118,1.22085983
37,119,4.47384468
38,120,1.00980006
38,121,117.3984491
38,122,2.469184404
38,123,1.083417503
38,124,5.175376335
38,125,122.4874433
39,126,1.05927667
40,127,6.311177343
40,128,64.19401189
40,129,0.8574493
40,130,42.29824637
41,131,7.50335003
41,132,5.453805987
42,133,8.095795968
42,134,20.70287893
42,135,8.219082817
42,136,14.28186728
42,137,6.279266455
43,138,11.26260338
43,139,2.903598182
44,140,3.05247539
45,141,26.42744743
45,142,25.01043601
45,143,19.00008139
46,144,0.505853884
46,145,1.184291664
47,146,7.524916872
47,147,29.85645684
47,148,3.371028395
47,149,30.6831757
47,150,5.161167446
47,151,26.60135267
47,152,4.92064346
48,153,2.945733863
48,154,45.03249691
48,155,1.227536476
48,156,23.47691257
48,157,20.09727342
49,158,8.278872911
49,159,2.675824167
50,160,13.72744593
50,161,3.172161354
50,162,2.152584916
51,163,10.64969036
51,164,17.09291079
52,165,27.35262185
53,166,0.347978737
53,167,77.8705958
53,168,4.695072887
53,169,7.338656271
53,170,2.655110035
53,171,6.873729123
53,172,49.73492183
54,173,23.48342028
54,174,8.202828196
54,175,32.30611269
54,176,15.03590611
54,177,8.016691992
55,178,6.256382211
55,179,31.95931507
55,180,0.83587668
55,181,23.95098898
55,182,5.832315333
56,183,0.9679383
56,184,12.33738352
57,185,123.2551083
57,186,1.019844525
57,187,115.2597352
58,188,6.616611139
58,189,4.838807067
59,190,6.222614973
59,191,47.31013144
59,192,0.675946405
59,193,3.006983647
60,194,7.447404255
61,195,7.928555722
61,196,8.850230002
61,197,15.98511939
61,198,21.48644599
61,199,1.367571942
62,200,10.62809035
62,201,159.3492576
63,202,19.45421827
63,203,57.5668762
63,204,1.737791074
63,205,20.67814179
63,206,36.14854614
63,207,0.528290356
64,208,3.560597101
64,209,54.68932097
64,210,32.21142055
64,211,12.13447816
65,212,13.14574554
65,213,7.03542343
65,214,0.33248413
65,215,6.464462965
66,216,1.416405243
66,217,15.35605582
67,218,3.335469912
67,219,2.249461269
67,220,6.293104185
67,221,1.563827773
68,222,6.341248867
68,223,7.871125964
69,224,6.243293986
69,225,5.3044474
70,226,4.891125567
70,227,0.233895289
70,228,0.761255227
71,229,57.41533346
71,230,26.49889777
72,231,1.678828504
72,232,72.65201427
72,233,0.185422071
73,234,2.801459899
73,235,1.458893096
74,236,7.301216937
74,237,68.02778389
74,238,8.298314828
75,239,2.030076949
75,240,1.986894009
75,241,0.928486353
76,242,2.784410403
76,243,3.558403269
76,244,3.038637164
76,245,2.021851843
76,246,7.946904183
77,247,2.124581465
77,248,13.26832882
78,249,6.505426998
78,250,16.32136384
78,251,10.08707829
79,252,2.351636021
79,253,0.492962018
79,254,0.643190934
79,255,7.941700491
80,256,1.338149122
80,257,11.04098214
81,258,2.032730477
81,259,4.150242157
82,260,2.995307752
82,261,23.11257038
83,262,9.531422067
83,263,8.44936152
83,264,15.36459934
83,265,79.05953234
83,266,6.173238761
84,267,8.763489675
84,268,13.35216059
85,269,3.929543568
85,270,5.077485194
85,271,52.01741934
85,272,2.678830903
86,273,0.260410809
86,274,5.1615246
86,275,25.39767066
87,276,9.466805957
87,277,17.34674727
87,278,1.989314147
88,279,4.052932488
88,280,1.437512722
88,281,2.169502419
88,282,71.14051236
88,283,13.50488835
89,284,50.93052483
89,285,3.792569139
89,286,3.891863479
90,287,3.225317322
90,288,1.510471563
90,289,3.423380241
90,290,9.543795957
90,291,25.8768332
91,292,9.687111229
91,293,389.6922695
91,294,5.450627123
92,295,7.927780837
92,296,124.3421133
92,297,55.59704594
92,298,80.6226752
92,299,3.4321143
92,300,1.674630878
93,301,6.118516223
93,302,0.583508101
93,303,73.28276702
93,304,5.829831817
93,305,3.894940468
94,306,1.619056281
95,307,0.617371081
95,308,0.775577375
95,309,4.997297432
95,310,1.365979138
96,311,5.908813205
96,312,5.225749354
97,313,20.99552978
97,314,1.60674717
98,315,16.03869056
98,316,7.396808892
98,317,9.368790179
99,318,2.284585122
100,319,20.31624278
100,320,7.034805866
101,321,3.270238256
102,322,1.26327487
102,323,10.02972012
102,324,11.41311801
102,325,5.041824888
103,326,30.06968705
103,327,49.76603098
103,328,21.81304305
103,329,1.358555962
105,330,1.181527729
105,331,21.53108372
106,332,21.46534882
107,333,14.38800635
107,334,17.98704699
107,335,4.644484289
109,336,0.603705515
110,337,104.2748708
110,338,0.715378318
110,339,18.33872468
110,340,1.082589624
111,341,102.7389467
111,342,6.983484096
111,343,38.66569694
111,344,8.770040926
111,345,9.257672269
112,346,11.72475775
113,347,0.568216603
113,348,1.06964726
114,349,8.595391035
115,350,149.6592538
115,351,21.67993915
115,352,3.655666464
117,353,16.28763318
117,354,1.639453841
117,355,15.88610113
117,356,5.829013441
118,357,24.7763575
118,358,16.06251876
119,359,2.487763913
119,360,0.75124544
120,361,2.23075798
120,362,167.6656781
120,363,4.679398342
121,364,18.38160243
121,365,0.756713947
121,366,7.330144973
122,367,2.75067617
122,368,9.677156693
122,369,4.471489575
123,370,15.63647663
123,371,16.4264471
123,372,1.445316888
124,373,29.79151916
124,374,6.608454779
125,375,18.74652021
125,376,25.81312883
125,377,14.71356885
125,378,6.650895005
125,379,0.61174399
126,380,14.07538221
126,381,10.08986577
126,382,11.10469793
127,383,1.088583311
128,384,0.897861115
128,385,15.666897
128,386,1.546930568
128,387,50.24395513
128,388,4.995108433
128,389,9.047396902
128,390,13.72001335
128,391,0.408800959
129,392,21.54404373
129,393,7.928991242
129,394,46.28215316
129,395,2.650775702
129,396,3.439113153
130,397,0.177831756
130,398,4.708923228
130,399,2.209617945
130,400,1.633665332
130,401,1.527499467
130,402,0.406359334
130,403,1.207927707
131,404,32.34578108
131,405,5.360282793
131,406,6.86066541
131,407,20.33267582
132,408,9.484684239
132,409,15.46650775
132,410,11.40159167
133,411,293.8149684
134,412,2.840327348
135,413,43.97075688
135,414,4.2202784
136,415,1.270797542
136,416,10.01801058
136,417,0.760623968
136,418,75.2832602
137,419,109.2694128
137,420,16.69732712
138,421,37.54027966
139,422,7.030863582
139,423,109.0533046
140,424,3.39934597
141,425,10.33650627
141,426,20.54951284
141,427,117.9264339
141,428,17.74124719
141,429,4.310534299
142,430,4.239795119
142,431,2.116283574
142,432,2.62659812
142,433,15.5247151
142,434,13.83745204
142,435,13.47206179
142,436,5.266834556
142,437,7.427000877
142,438,25.19458382
142,439,0.791290921
143,440,11.0217525
143,441,4.046815858
143,442,16.56071844
143,443,7.940141335
143,444,45.30751515
144,445,0.850235957
144,446,36.98260344
144,447,1.584433691
144,448,9.020091798
145,449,2.585241113
145,450,12.81547468
148,451,3.357819883
148,452,0.841961618
148,453,0.273020353
148,454,14.29659898
149,455,3.479604589
149,456,39.75675581
150,457,52.76329281
150,458,19.59553564
151,459,6.367686421
151,460,6.900687025
151,461,10.64413647
152,462,8.259047951
152,463,5.237771365
153,464,12.35533582
153,465,14.66010456
153,466,17.3683732
153,467,14.4625542
154,468,9.922270286
154,469,21.40245503
154,470,6.458495905
155,471,64.08278885
156,472,8.954503789
156,473,2.660256412
156,474,26.07469551
157,475,2.7761471
157,476,5.699894592
158,477,2.6320433
158,478,7.125889314
158,479,3.137709015
158,480,4.977944954
158,481,4.035239869
159,482,16.2376589
159,483,106.9581499
159,484,1.984807631
160,485,7.818481466
161,486,9.905750306
162,487,1.500878846
162,488,11.17038236
162,489,2.23040242
163,490,111.9408029
164,491,12.64028067
164,492,8.774063582
164,493,30.72934946
164,494,5.490779935
164,495,53.29898779
165,496,1.572451128
165,497,3.340273346
165,498,18.69077005
166,499,40.20481065
166,500,1.361053686
166,501,17.22593474
167,502,37.9613734
168,503,6.258245388
168,504,10.3468045
168,505,35.53959595
168,506,92.37824777
169,507,3.712381579
169,508,24.55087175
169,509,9.66887445
169,510,16.43297257
170,511,1.126693964
170,512,12.00952628
170,513,4.771997744
171,514,0.258815542
171,515,10.51496776
171,516,1.305580707
172,517,11.9273611
172,518,3.663607062
172,519,12.42556225
172,520,6.886886745
173,521,15.11308978
174,522,5.008439233
174,523,47.01799412
175,524,26.32761833
175,525,46.23566049
175,526,45.68472185
176,527,6.460560538
176,528,6.636588895
176,529,6.987806106
176,530,22.00884274
178,531,7.987827566
178,532,3.055229448
178,533,7.492763056
179,534,9.106731729
179,535,14.56763574
179,536,6.047410948
180,537,37.66757003
180,538,1.808138991
180,539,19.42191833
181,540,36.95241553
181,541,5.778006232
181,542,16.79067893
182,543,1.866864512
182,544,9.937832964
182,545,14.49556372
182,546,1.469627897
182,547,20.13806774
182,548,1.441393498
182,549,85.34388311
183,550,6.711298706
183,551,12.09925179
184,552,35.53009882
184,553,17.37314213
184,554,21.80631072
184,555,19.16518589
