year,event_id,group,loss
0,0,0,11.2296987
0,1,0,33.64192063
0,2,1,3.091581583
0,3,1,3.361022655
3,4,2,10.3100418
3,5,0,2.335054537
5,6,0,3.00302233
5,7,1,30.6048879
6,8,1,3.318546196
6,9,0,7.328040884
7,10,1,1.00775081
7,11,2,9.927332919
7,12,0,22.36953235
8,13,2,9.554883851
8,14,2,2.085211137
8,15,2,3.421270221
8,16,0,6.921931134
8,17,2,4.88929751
8,18,2,0.708503562
8,19,0,2.240173934
9,20,2,66.91424861
9,21,0,1.369098506
9,22,2,30.7228935
9,23,1,98.47224215
9,24,2,14.68501543
9,25,0,0.590709414
10,26,2,5.895558157
10,27,2,1.73613867
11,28,1,27.35933117
11,29,1,228.3407371
11,30,0,84.29990592
11,31,1,25.4216104
12,32,2,2.577758851
12,33,1,4.519976434
12,34,2,4.10348975
12,35,0,0.82261053
12,36,1,11.52110321
13,37,2,10.93078268
14,38,1,0.320651792
15,39,1,49.18608686
15,40,0,8.087707488
15,41,1,297.3361059
15,42,1,5.537031644
16,43,1,11.61527467
16,44,1,2.219447376
16,45,1,58.91074951
17,46,1,3.524897214
18,47,2,29.5104345
18,48,0,27.97377381
18,49,0,18.32423858
19,50,0,122.5450449
19,51,1,13.39070635
19,52,0,2.890922216
19,53,1,3.374704553
19,54,0,7.534939853
20,55,2,13.0221843
20,56,1,18.66147556
20,57,0,45.86059243
20,58,2,10.37534589
21,59,0,26.34035434
21,60,0,9.262634998
21,61,1,7.216915101
22,62,1,0.94666823
22,63,0,2.321767794
22,64,2,27.60537009
22,65,0,5.158306035
22,66,0,45.33470963
22,67,0,16.55916965
23,68,0,7.261780308
23,69,0,9.83451422
23,70,0,18.3653101
24,71,2,4.378246168
24,72,1,3.781903945
24,73,1,26.69825457
24,74,2,10.18728747
24,75,1,1.140414545
25,76,2,36.09431101
25,77,1,7.980821007
25,78,2,27.34874761
26,79,1,36.57254477
26,80,1,17.3976609
26,81,2,40.58296756
26,82,2,30.90761659
26,83,1,19.63054707
26,84,2,4.604785704
27,85,0,23.06817197
27,86,0,3.640431437
27,87,0,37.84223835
28,88,2,89.62682705
28,89,1,2.437920332
28,90,2,6.291555184
28,91,1,3.56325364
30,92,0,3.62401321
30,93,0,2.773211822
30,94,0,104.394956
30,95,0,13.56472355
31,96,1,49.42056948
31,97,1,2.556133593
31,98,0,14.37842964
31,99,2,23.61662894
32,100,2,7.409184778
32,101,1,22.96342936
32,102,0,134.3319458
33,103,1,13.74688504
33,104,2,15.20807585
33,105,0,14.88845022
33,106,0,40.67144007
33,107,2,14.44481053
34,108,1,0.729359809
35,109,1,39.46207801
35,110,0,3.05247539
36,111,1,26.42744743
36,112,0,14.48296326
37,113,0,6.565984605
37,114,1,75.89035975
37,115,0,3.821806386
37,116,2,4.00733716
37,117,2,10.94009613
37,118,0,7.524916872
38,119,2,29.85645684
38,120,2,13.30397463
39,121,0,6.130106532
40,122,2,18.84372045
40,123,1,18.96354143
40,124,2,7.254557128
41,125,0,1.923446142
42,126,0,13.72744593
43,127,0,3.172161354
44,128,1,0.68902282
44,129,0,8.31876263
44,130,2,36.27173162
45,131,0,10.55107634
45,132,0,1.601575447
45,133,1,25.73719649
45,134,1,2.493031169
45,135,1,0.443229334
46,136,1,2.074249485
46,137,0,6.904169914
46,138,2,0.157786414
46,139,0,41.02119256
46,140,2,0.429505458
46,141,2,18.14944513
47,142,1,6.256382211
47,143,1,31.95931507
47,144,0,0.83587668
47,145,0,23.95098898
47,146,2,5.832315333
47,147,1,0.9679383
49,148,1,6.146094726
49,149,1,19.55712875
49,150,1,23.81731284
50,151,2,9.268485069
50,152,0,6.284099496
51,153,2,73.01405011
51,154,0,12.35036203
51,155,0,129.9687985
51,156,0,11.93298445
51,157,1,9.874119011
52,158,1,8.850230002
52,159,2,15.98511939
