claim_id,M_i,P_i,C_i,v_i
S001,3690,0.2524,2771,0.5147
S002,2931,0.1813,2147,0.3107
S003,688,0.0189,1462,0.8248
S004,2076,0.2011,2728,0.4757
S005,732,0.0628,2186,0.6495
S006,706,0.1686,2312,0.5847
S007,10445,0.4875,3825,0.5675
S008,11984,0.3094,3797,0.3937
S009,1472,0.1284,2077,0.6758
S010,603,0.038,2123,0.3875
S011,5075,0.0876,3498,0.5173
S012,2781,0.284,2377,0.4548
S013,14409,0.2676,4298,0.2708
S014,995,0.1191,2032,0.3185
S015,14977,0.3539,3594,0.4041
S016,2215,0.4432,2274,0.2701
S017,500,0.0769,1672,0.0476
S018,1785,0.1687,2539,0.4633
S019,6898,0.1191,3288,0.5754
S020,500,0.343,826,0.4273
S021,531,0.1128,2061,0.5811
S022,768,0.0599,2724,0.8905
S023,3601,0.1318,2655,0.4459
S024,1048,0.0975,1974,0.4822
S025,500,0.3424,1964,0.2838
S026,8575,0.0316,3218,0.4193
S027,500,0.2247,1361,0.3086
S028,2656,0.1084,2582,0.4778
S029,890,0.1108,1942,0.3487
S030,500,0.0451,1632,0.6988
S031,3759,0.1229,3137,0.4649
S032,3345,0.3343,2476,0.489
S033,19847,0.1354,4453,0.6787
S034,10050,0.4788,3870,0.3836
S035,16229,0.0714,3694,0.3374
S036,500,0.0219,1669,0.5161
S037,3272,0.1355,2801,0.5961
S038,5642,0.1299,2915,0.5321
S039,1184,0.065,2056,0.3779
S040,1504,0.3204,2138,0.6689
S041,500,0.1214,1702,0.3158
S042,731,0.3586,1691,0.1931
S043,644,0.2431,2051,0.0916
S044,7123,0.08,3168,0.2045
S045,500,0.1195,2256,0.6214
S046,5366,0.2431,3042,0.53
S047,26464,0.0548,4987,0.3517
S048,6057,0.0822,3097,0.5003
S049,8665,0.4042,3352,0.6932
S050,3165,0.0489,2371,0.1008
S051,1002,0.0278,2161,0.6882
S052,1628,0.3474,1894,0.2474
S053,1189,0.1202,2259,0.1102
S054,500,0.0882,2247,0.7646
S055,500,0.2052,1284,0.7186
S056,1528,0.1349,2725,0.2736
S057,5384,0.0609,2980,0.6458
S058,880,0.0433,1596,0.6976
S059,6291,0.0814,3320,0.3323
S060,1737,0.054,2144,0.3441
S061,523,0.1684,1308,0.685
S062,2189,0.1099,1986,0.3197
S063,2688,0.1838,2564,0.2709
S064,1865,0.0225,2666,0.1955
S065,1619,0.1638,2279,0.3912
S066,601,0.0103,1922,0.4249
S067,2623,0.1093,2296,0.5835
S068,500,0.0983,1714,0.2592
S069,1215,0.0192,2026,0.0941
S070,500,0.0582,1431,0.4013
S071,1299,0.5684,2583,0.3639
S072,1693,0.1156,1744,0.2111
S073,11018,0.038,3701,0.1026
S074,500,0.0434,2349,0.1162
S075,500,0.0877,2358,0.2
S076,2194,0.0396,2740,0.4199
S077,1091,0.0227,2575,0.072
S078,2395,0.133,3091,0.2203
S079,500,0.1382,1456,0.2597
S080,10695,0.221,3682,0.638
S081,2564,0.1078,2652,0.2276
S082,2930,0.0201,2235,0.2909
S083,1099,0.161,1870,0.7459
S084,6039,0.2949,3048,0.2353
S085,10348,0.2127,3995,0.4514
S086,1662,0.0945,2899,0.5608
S087,3411,0.09,2415,0.1891
S088,500,0.2019,1589,0.5585
S089,735,0.1615,1801,0.4419
S090,6821,0.1732,2765,0.2573
S091,5395,0.0226,2731,0.2507
S092,649,0.3244,1635,0.5312
S093,1284,0.2611,2553,0.3139
S094,500,0.1,1604,0.2922
S095,2383,0.0166,2234,0.3344
S096,2109,0.2601,2565,0.1978
S097,500,0.0919,1813,0.4403
S098,2795,0.1706,2507,0.7976
S099,1253,0.0752,1908,0.2926
S100,36107,0.0453,5182,0.3869
