claim_id,M_i,P_i,C_i,v_i
S001,9770,0.0116,2865,0.5834
S002,2378,0.0356,1878,0.1709
S003,500,0.2594,1451,0.2733
S004,2424,0.1091,2622,0.5166
S005,2409,0.0985,2293,0.2705
S006,16843,0.1398,2773,0.1975
S007,3099,0.0864,2097,0.5091
S008,12275,0.3172,2636,0.7916
S009,882,0.0901,1654,0.1239
S010,3314,0.2161,2249,0.5229
S011,2125,0.3717,1483,0.4303
S012,500,0.0312,1139,0.5178
S013,3711,0.0701,2321,0.6416
S014,1776,0.2236,1770,0.5468
S015,500,0.1867,1957,0.4635
S016,500,0.2191,1196,0.6689
S017,3545,0.0425,2447,0.8093
S018,5419,0.1043,2413,0.4528
S019,677,0.3303,1110,0.3788
S020,3463,0.1275,2790,0.2902
S021,500,0.1271,1402,0.1372
S022,729,0.0665,1570,0.5496
S023,1762,0.2772,1732,0.4113
S024,9466,0.0152,1967,0.9424
S025,912,0.2132,1420,0.6455
S026,571,0.019,1552,0.0703
S027,1129,0.1012,2065,0.5531
S028,2394,0.3021,1910,0.7816
S029,585,0.2842,1563,0.3738
S030,1979,0.226,1744,0.3396
S031,500,0.1317,1333,0.1853
S032,1277,0.0963,1717,0.6936
S033,3394,0.2016,2281,0.3939
S034,1068,0.0306,2119,0.3158
S035,4517,0.296,2188,0.4617
S036,3207,0.3072,2692,0.5449
S037,828,0.1816,1769,0.334
S038,1923,0.4426,2061,0.5517
S039,973,0.0634,1602,0.3117
S040,838,0.0802,1504,0.4396
S041,7534,0.0261,2442,0.3129
S042,1323,0.064,1806,0.6152
S043,603,0.096,1720,0.7677
S044,4752,0.1843,2655,0.3844
S045,2635,0.2492,2192,0.6932
S046,500,0.1132,1530,0.3765
S047,1686,0.2466,2053,0.7066
S048,8554,0.0418,3003,0.3708
S049,4869,0.0615,2479,0.5128
S050,3191,0.2139,2342,0.1422
S051,10994,0.2355,2942,0.5538
S052,15267,0.1234,3322,0.5772
S053,500,0.2178,1687,0.2357
S054,1192,0.3046,1976,0.5002
S055,500,0.1688,1270,0.6586
S056,2708,0.0551,1999,0.614
S057,9560,0.3317,2966,0.3721
S058,1407,0.0298,2191,0.0248
S059,2498,0.0298,2261,0.1456
S060,15381,0.0891,3174,0.2346
S061,2016,0.1282,2310,0.6715
S062,82286,0.0138,4922,0.0168
S063,15166,0.0957,2904,0.1154
S064,500,0.1233,2021,0.1239
S065,4159,0.0152,2521,0.0713
S066,2908,0.0948,2293,0.2153
S067,2997,0.0731,2094,0.2894
S068,500,0.1457,1437,0.27
S069,1880,0.067,1868,0.1196
S070,4994,0.032,1737,0.5364
S071,5190,0.2405,2450,0.5844
S072,1952,0.0803,2030,0.1357
S073,752,0.0391,1887,0.3118
S074,6623,0.2687,2844,0.7771
S075,1790,0.1455,2572,0.6687
S076,3280,0.0515,2280,0.326
S077,500,0.1997,1253,0.8808
S078,1773,0.1552,2131,0.5109
S079,2246,0.0451,1678,0.5654
S080,4408,0.1061,2525,0.5912
S081,588,0.42,1135,0.1553
S082,1953,0.1367,2180,0.1091
S083,500,0.1658,1957,0.2797
S084,791,0.1653,2043,0.5841
S085,2575,0.1807,1637,0.4504
S086,2808,0.0769,2086,0.3551
S087,2671,0.1184,2085,0.3717
S088,500,0.1418,1665,0.1281
S089,500,0.1139,1152,0.2761
S090,8783,0.4328,3188,0.8532
S091,645,0.4122,1000,0.2699
S092,1519,0.0226,2454,0.2916
S093,3152,0.0518,1723,0.3714
S094,4427,0.2633,2754,0.2348
S095,1664,0.0716,2145,0.0433
S096,2134,0.0247,2091,0.2789
S097,1720,0.2921,1900,0.3351
S098,758,0.0982,1331,0.7956
S099,6498,0.1009,2106,0.0446
S100,979,0.1889,1963,0.4027
